location,horn,bray,turnover,nestedness,alpha,gamma,prop_resident,region,state_area,log_state_area,latitude,longitude,jan_temp,jul_temp,temp_range
AK,0.01770424492404187,0.0990799858523689,0.0681731882118136,0.030906797640555282,237.5,467.0,0.22483940042826553,alaska,1527464.7324299999,14.239119881335814,49.25,-127.25,NA,NA,NA
AL,0.014323132861204577,0.0895431978072394,0.05771448642168835,0.03182871138555105,237.25,408.0,0.24754901960784315,alabama,133666.79390999998,11.80310536956528,32.5901,-86.7509,7.2,26.9,19.7
AR,0.013136431940152264,0.08423363500489649,0.04804769101475921,0.03618594399013728,219.0,381.0,0.1784776902887139,arkansas,137538.82895999998,11.831661548659888,34.7336,-92.2992,4.3,27.6,23.3
AZ,0.006311734439125913,0.05349303427574811,0.04233795425737595,0.01115508001837215,366.5416666666667,528.0,0.4128787878787879,arizona,295023.17091,12.594809177695051,34.2192,-111.625,5.6,25.8,20.200000000000003
CA,0.00404128608340131,0.042096912399038115,0.03049254663922082,0.011604365759817296,469.3125,643.0,0.4976671850699845,california,411013.28306999995,12.926380811861236,36.5341,-119.773,7.3,26.9,19.599999999999998
CO,0.01018569955741145,0.0710039072331135,0.05043062442426586,0.020573282808847643,288.3958333333333,470.0,0.2872340425531915,colorado,269998.68753,12.506172376968697,38.6777,-105.513,-9.6,14.1,23.7
CT,0.011675658120570092,0.0726632993882246,0.04875133589044403,0.023911963497780585,225.27083333333334,391.0,0.22506393861892582,connecticut,12973.259909999999,9.470645588057748,41.5928,-72.3573,-3.4,21.5,24.9
DE,0.015499092425370026,0.09228970870299266,0.06301974074555136,0.029269967957441297,217.16666666666666,384.0,0.21614583333333334,delaware,5327.6094299999995,8.580657904353089,38.6777,-75.2,1.1,24.2,23.099999999999998
FL,0.005976446182312525,0.047366502449871374,0.033167415051839365,0.014199087398032013,349.8333333333333,547.0,0.340036563071298,florida,151669.81439999997,11.929461163335324,27.8744,-81.685,15.9,27.6,11.700000000000001
GA,0.009331176580828295,0.0650688451255417,0.04091043071692692,0.024158414408614787,255.10416666666666,405.0,0.3111111111111111,georgia,152488.25123999998,11.93484283101261,32.3329,-83.3736,8.4,27.5,19.1
HI,0.017022837691360735,0.10066621282389716,0.07932203971314371,0.02134417311075346,133.22916666666666,240.0,0.32916666666666666,hawaii,16705.4355,9.72348942448995,31.75,-126.25,NA,NA,NA
IA,0.01909939916769236,0.09740605919689385,0.06391132604569724,0.0334947331511966,188.54166666666666,372.0,0.1424731182795699,iowa,145790.5371,11.889926193158203,41.9358,-93.3714,-8.2,23.3,31.5
ID,0.01136307432087847,0.07580226580718065,0.05690613761073656,0.01889612819644408,230.66666666666666,387.0,0.28940568475452194,idaho,216411.79442999998,12.284938327380509,43.5648,-113.93,-9.7,14.4,24.1
IL,0.01292917198516949,0.079600886319931,0.04756427885831201,0.03203660746161898,238.97916666666666,399.0,0.21804511278195488,illinois,146075.436,11.891878452186281,40.0495,-89.3776,-4.1,24.3,28.4
IN,0.011935274308266155,0.07105134232166711,0.047157455126210654,0.023893887195456456,219.125,371.0,0.20215633423180593,indiana,93993.32708999999,11.45097907032809,40.0495,-86.0808,-4.2,23.2,27.4
KS,0.014317613941960856,0.0902779499388544,0.052938147535363946,0.03733980240349045,229.41666666666666,422.0,0.17535545023696683,kansas,213062.93735999998,12.269342881609159,38.4204,-98.1156,-2.3,26.5,28.8
KY,0.0141375737007592,0.08137246315938221,0.04890328982289063,0.03246917333649158,190.5,351.0,0.17094017094017094,kentucky,104622.64605,11.55811530861394,37.3915,-84.7674,0.1,23.8,23.7
LA,0.010492013720344473,0.0758072450412714,0.04502634878742627,0.03078089625384513,276.7083333333333,424.0,0.32075471698113206,louisiana,125674.08476999999,11.741447206019837,30.6181,-92.2724,9.5,27.6,18.1
MA,0.011032126222910475,0.06742449682129974,0.046782943766380924,0.02064155305491881,274.8541666666667,448.0,0.25669642857142855,massachusetts,21385.54743,9.97047061911756,42.3645,-71.58,-4.7,21.3,26.0
MD,0.010489570829334554,0.06783308364469662,0.04891635953555499,0.018916724109141626,257.7083333333333,412.0,0.2912621359223301,maryland,27394.32423,10.218091126028185,39.2778,-76.6459,0.7,25.6,24.900000000000002
ME,0.013732149431254977,0.08306819050064528,0.05201534654497758,0.031052843955667694,233.10416666666666,409.0,0.22493887530562348,maine,86026.51784999999,11.362410874799473,45.6226,-68.9801,-10.7,18.9,29.599999999999998
